date,code,momentum,volatility,rsi
2022-02-08,600970,-0.5818480724563693,-0.13154486778415053,-0.23060399140650514
2022-02-09,600970,-0.13740811846246997,-0.41022436020466385,0.058676038406588506
2022-02-10,600970,-0.39221099646319696,-0.6009708354252171,0.553833233891354
2022-02-11,600970,-0.5145076681939901,-0.5727625366740842,0.1615186392807928
2022-02-14,600970,-0.5166299619289021,-0.572674215616139,-0.2916550828321381
2022-02-15,600970,-0.3661848744522695,-0.6007946758143449,-0.236550034853318
2022-02-16,600970,-0.06505800364930767,-0.48401983648983427,0.36367780916471604
2022-02-17,600970,-0.1664935561107919,-0.4134838626803698,0.004010729662774242
2022-02-18,600970,0.025463559193539907,-0.47432539890642095,-0.19522026619253302
2022-02-21,600970,0.09947921061260191,-0.45418664071149145,0.9132125895577432
2022-02-22,600970,-0.23835556058806387,-0.47392754335197695,0.3889367547254807
2022-02-23,600970,-0.18432061587959458,-0.4703406415690195,0.6030462871490112
2022-02-24,600970,-0.4600127047843653,-0.30508216503403646,-0.07793933790507464
2022-02-25,600970,-0.3528794877520531,-0.3011745111442909,-0.40759103646439154
2022-02-28,600970,-0.52124158872491,-0.3248300822707978,-0.8299937797134926
2022-03-01,600970,0.04543756761437191,-0.5798472779336534,-0.5236514164726394
2022-03-02,600970,-0.04046820710478338,-0.593187662603947,-0.648904697999619
2022-03-03,600970,0.0453284848561008,-0.6012195129663428,-0.37785774620206825
2022-03-04,600970,-0.16476659148760137,-0.5367691202211294,-0.6062047156616315
2022-03-07,600970,-0.3838861411242367,-0.6367272266460205,-0.6402863529242228
2022-03-08,600970,-0.9815722809416684,-0.318298530190206,-1.719992621291484
2022-03-09,600970,-1.0993309648032696,-0.3165870456881139,-1.6113336571867174
2022-03-10,600970,-1.1557910844585744,-0.3332832286697425,-1.6182811612850643
2022-03-11,600970,-0.972774042477475,-0.3241414185738513,-1.8052236717819512
2022-03-14,600970,-1.1905314155742264,-0.2453798987559734,-1.8632156899456647
2022-03-15,600970,-1.7362240640490934,0.1571426505767242,-2.192768567997671
2022-03-16,600970,-1.6320865267138784,0.29091391489822005,-1.3522775310493715
2022-03-17,600970,-1.3312199161587241,0.2889095982156432,-1.2785424685832416
2022-03-18,600970,-1.0060098014529062,0.5089217763232129,-0.6680565752636828
2022-03-21,600970,-1.1841617849243373,0.4763632477680386,-0.951038314983286
2022-03-22,600970,-1.0291308123034026,0.471793661246259,-0.920398827711052
2022-03-23,600970,-0.8852174731336021,0.5312633589199031,-0.6775102681382406
2022-03-24,600970,-0.6411628662567225,0.43556710688839884,-0.5706027073257707
2022-03-25,600970,-0.7433433645769126,0.42931649498648994,-0.6129215340364386
2022-03-28,600970,-0.6814319950933605,0.4292982517340581,-0.09222917208009303
2022-03-29,600970,-0.8414979403824142,0.39220409921932364,0.02542039401853267
2022-03-30,600970,-0.6603515872121345,0.45352891083403285,0.2904949136164864
2022-03-31,600970,-0.6113010028933431,0.46235845395953895,0.3025901875882543
2022-04-01,600970,-0.31394891185142443,0.45307829679923683,0.8524268246365478
2022-04-06,600970,-0.2558462678653164,0.4572333191319109,2.236203831766711
2022-04-07,600970,0.10105486277401667,0.19728250220746957,1.5172899481915627
2022-04-08,600970,0.24976582718970322,0.17461496656542752,1.437719758144095
2022-04-11,600970,-0.25509016881267405,0.4690109715858177,-0.3189452018833426
2022-04-12,600970,-0.16963979571790885,0.49124304004843117,0.10950966661422724
2022-04-13,600970,-0.11058919403630639,0.4594092841494421,-0.27586035445026663
2022-04-14,600970,0.4646626061611826,-0.024432550118365697,-0.7831046424853576
2022-04-15,600970,-0.05834098721302252,-0.19171315611067644,-0.8439881617935995
2022-04-18,600970,-0.3556383474615478,-0.15410808673376603,-0.976681323885294
2022-04-19,600970,-0.698858495410981,-0.4144411633477614,-0.9547169417802266
2022-04-20,600970,-0.8977595253574546,-0.30911328658721493,-1.1676548450869986
2022-04-21,600970,-1.3845151406637004,-0.0043535643387772344,-1.8386782817623362
2022-04-22,600970,-1.4247680108827419,-0.03794104870534621,-1.7351767748670068
2022-04-25,600970,-2.0864294285725244,0.6510124406310356,-2.200672664129895
2022-04-26,600970,-1.9544062030016975,0.6987156011361103,-2.147401429223108
2022-04-27,600970,-1.7750422447744523,0.799127977740802,-1.8135552074357766
2022-04-28,600970,-1.792330177035058,0.796904704778253,-1.8602514936703536
2022-04-29,600970,-1.7608447069479145,0.8220258261278415,-1.3459767240456786
2022-05-05,600970,-1.4792075153941924,1.0468587163278966,-1.0551219509183165
2022-05-06,600970,-1.8217600630796837,1.048224051831238,-1.0738418739842692
2022-05-09,600970,-1.7204729443903253,1.0965603482496817,-0.8302346772572837
2022-05-10,600970,-1.3630853076552722,1.210530783967946,-0.45946737625461703
2022-05-11,600970,-1.5026543604677582,1.2079382991422765,-0.4116600247486794
2022-05-12,600970,-0.9464828624846334,1.0732385647681388,-0.29990276208466554
2022-05-13,600970,-1.0895999297955412,1.0384633168301909,-0.0766465854535975
2022-05-16,600970,-0.8893914868826159,1.0122277069481551,0.42649660279369644
2022-05-17,600970,-0.8544692235664907,1.0102784508884994,0.23552580527805145
2022-05-18,600970,-0.7894432185735616,1.0025835692797465,1.3850247349401448
2022-05-19,600970,-0.5093484051389711,0.9898486155315298,1.3850247349401448
2022-05-20,600970,-0.3821173621288609,1.0137446922129023,1.3340286102548113
2022-05-23,600970,-0.19334695757202486,0.9457651372061164,1.2126578338435532
2022-05-24,600970,-0.11699906947365239,0.8791097296571199,0.24936799200524024
