日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-01-04,603658,51.57,53.0,53.74,51.33,69290,392604064.0,4.7,3.43,1.76,1.18
2022-01-05,603658,52.96,52.67,53.33,52.27,33975,192063880.0,2.0,-0.62,-0.33,0.58
2022-01-06,603658,52.57,51.72,52.94,51.28,34059,189326386.0,3.15,-1.8,-0.95,0.58
2022-01-07,603658,51.73,53.84,54.37,51.48,77696,446597104.0,5.59,4.1,2.12,1.33
2022-01-10,603658,54.68,55.83,55.94,54.02,84810,500606960.0,3.57,3.7,1.99,1.45
2022-01-11,603658,55.88,54.18,56.03,53.85,84086,493283232.0,3.9,-2.96,-1.65,1.43
2022-01-12,603658,54.17,54.67,55.18,53.01,54087,314199552.0,4.01,0.9,0.49,0.92
2022-01-13,603658,54.68,55.54,58.48,54.18,108792,656402352.0,7.87,1.59,0.87,1.86
2022-01-14,603658,55.56,59.27,60.98,53.84,152194,935776256.0,12.86,6.72,3.73,2.6
2022-01-17,603658,59.27,59.29,60.26,57.08,98767,618200816.0,5.37,0.03,0.02,1.68
2022-01-18,603658,58.18,55.14,59.18,54.52,90382,542908976.0,7.86,-7.0,-4.15,1.54
2022-01-19,603658,53.96,54.33,56.06,53.96,42034,246277403.0,3.81,-1.47,-0.81,0.72
2022-01-20,603658,54.35,53.88,55.48,53.77,38464,224196465.0,3.15,-0.83,-0.45,0.66
2022-01-21,603658,53.82,48.11,53.88,48.11,116898,623278784.0,10.71,-10.71,-5.77,1.99
2022-01-24,603658,47.18,46.62,47.46,45.47,59402,297862304.0,4.14,-3.1,-1.49,1.01
2022-01-25,603658,46.41,44.18,46.65,43.89,53762,262669074.0,5.92,-5.23,-2.44,0.92
2022-01-26,603658,44.19,45.44,45.66,44.08,42557,207567835.0,3.58,2.85,1.26,0.73
2022-01-27,603658,45.12,44.18,45.48,43.95,26963,130212724.0,3.37,-2.77,-1.26,0.46
2022-01-28,603658,44.19,44.33,44.9,43.06,24089,115410230.0,4.16,0.34,0.15,0.41
2022-02-07,603658,45.68,44.98,46.05,44.79,22628,111016287.0,2.84,1.47,0.65,0.39
2022-02-08,603658,44.98,45.56,45.68,44.66,19980,97905282.0,2.27,1.29,0.58,0.34
2022-02-09,603658,45.47,46.61,46.68,45.18,24117,120399098.0,3.29,2.3,1.05,0.41
2022-02-10,603658,46.47,46.83,46.96,45.98,21406,107750200.0,2.1,0.47,0.22,0.37
2022-02-11,603658,46.47,45.88,46.83,45.73,22961,114746751.0,2.35,-2.03,-0.95,0.39
2022-02-14,603658,45.78,44.83,45.78,44.23,22563,109894671.0,3.38,-2.29,-1.05,0.38
2022-02-15,603658,44.82,45.37,45.81,43.85,31874,154428783.0,4.37,1.2,0.54,0.54
2022-02-16,603658,45.78,44.84,45.78,44.66,26171,127804024.0,2.47,-1.17,-0.53,0.45
2022-02-17,603658,44.87,44.61,45.08,44.18,18692,90381585.0,2.01,-0.51,-0.23,0.32
2022-02-18,603658,44.19,45.0,45.13,44.18,16231,78755301.0,2.13,0.87,0.39,0.28
2022-02-21,603658,45.3,45.1,45.67,44.58,18579,90853577.0,2.42,0.22,0.1,0.32
2022-02-22,603658,44.91,44.51,45.09,44.25,22756,110025954.0,1.86,-1.31,-0.59,0.39
2022-02-23,603658,45.06,45.28,45.35,44.58,21887,107016444.0,1.73,1.73,0.77,0.37
2022-02-24,603658,45.12,44.2,45.4,43.81,29407,142028129.0,3.51,-2.39,-1.08,0.5
