日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-01-04,603816,55.12,53.99,55.12,52.82,23920,182539567.0,4.22,-0.9,-0.49,0.38
2022-01-05,603816,53.99,53.59,54.2,52.46,33474,253372240.0,3.22,-0.74,-0.4,0.53
2022-01-06,603816,53.13,53.59,54.35,52.43,25609,194149731.0,3.58,0.0,0.0,0.41
2022-01-07,603816,53.74,53.93,55.89,53.09,37918,291215264.0,5.22,0.63,0.34,0.6
2022-01-10,603816,53.63,54.36,55.46,52.92,50239,386643728.0,4.71,0.8,0.43,0.79
2022-01-11,603816,54.27,53.59,55.22,53.43,32848,252062849.0,3.29,-1.42,-0.77,0.52
2022-01-12,603816,54.36,52.53,54.36,51.66,32898,243540585.0,5.04,-1.98,-1.06,0.52
2022-01-13,603816,52.82,50.39,52.82,49.65,53592,384908416.0,6.03,-4.07,-2.14,0.85
2022-01-14,603816,51.2,51.79,52.89,50.39,62482,459716240.0,4.96,2.78,1.4,0.99
2022-01-17,603816,52.2,51.86,52.56,49.49,65057,476030192.0,5.93,0.14,0.07,1.03
2022-01-18,603816,52.03,51.24,52.66,50.4,48782,356954272.0,4.36,-1.2,-0.62,0.77
2022-01-19,603816,51.62,52.91,54.51,51.49,57681,438423104.0,5.89,3.26,1.67,0.91
2022-01-20,603816,52.91,54.52,56.82,52.05,56112,436305264.0,9.02,3.04,1.61,0.89
2022-01-21,603816,54.59,53.62,55.63,53.13,38460,293882400.0,4.59,-1.65,-0.9,0.61
2022-01-24,603816,53.59,54.36,55.36,53.36,36917,284131200.0,3.73,1.38,0.74,0.58
2022-01-25,603816,53.89,52.91,54.92,52.56,29646,225242949.0,4.34,-2.67,-1.45,0.47
2022-01-26,603816,53.55,53.01,54.26,52.26,26136,196806757.0,3.78,0.19,0.1,0.41
2022-01-27,603816,52.28,51.6,53.2,51.28,26788,197842362.0,3.62,-2.66,-1.41,0.42
2022-01-28,603816,52.23,51.09,53.59,50.89,38996,288183936.0,5.23,-0.99,-0.51,0.62
2022-02-07,603816,51.82,50.58,53.97,50.48,21302,156058105.0,6.83,-1.0,-0.51,0.34
2022-02-08,603816,50.89,50.39,50.93,48.74,26912,190991559.0,4.33,-0.38,-0.19,0.43
2022-02-09,603816,49.95,51.83,52.0,49.95,22741,165968455.0,4.07,2.86,1.44,0.36
2022-02-10,603816,52.05,50.99,52.05,49.8,20362,146879955.0,4.34,-1.62,-0.84,0.32
2022-02-11,603816,50.7,51.28,52.4,50.12,18241,133665766.0,4.47,0.57,0.29,0.29
2022-02-14,603816,50.6,49.65,51.37,49.28,29210,208566666.0,4.08,-3.18,-1.63,0.46
2022-02-15,603816,49.74,48.89,49.85,48.27,27148,189307360.0,3.18,-1.53,-0.76,0.43
2022-02-16,603816,48.89,49.36,49.73,48.37,16687,117254030.0,2.78,0.96,0.47,0.26
2022-02-17,603816,49.08,48.58,49.51,48.11,17056,118472138.0,2.84,-1.58,-0.78,0.27
2022-02-18,603816,48.14,49.09,49.09,47.97,14993,104530790.0,2.31,1.05,0.51,0.24
2022-02-21,603816,49.43,50.88,50.97,48.69,18524,132823990.0,4.64,3.65,1.79,0.29
2022-02-22,603816,51.27,49.6,51.27,48.82,21469,151641710.0,4.82,-2.52,-1.28,0.34
2022-02-23,603816,49.59,49.45,51.47,49.26,28538,204696381.0,4.46,-0.3,-0.15,0.45
2022-02-24,603816,49.28,48.09,49.49,46.92,33950,232546463.0,5.2,-2.75,-1.36,0.54
2022-02-25,603816,48.34,49.62,50.12,47.44,44113,311672688.0,5.57,3.18,1.53,0.7
2022-02-28,603816,49.24,49.28,49.86,48.47,13243,92744515.0,2.8,-0.69,-0.34,0.21
2022-03-01,603816,49.69,48.42,50.51,47.97,20638,144072424.0,5.15,-1.75,-0.86,0.33
2022-03-02,603816,48.13,47.61,48.38,47.36,21323,145749099.0,2.11,-1.67,-0.81,0.34
2022-03-03,603816,47.62,47.88,48.51,47.21,26148,178929715.0,2.73,0.57,0.27,0.41
2022-03-04,603816,48.21,47.86,48.66,47.2,21835,149589863.0,3.05,-0.04,-0.02,0.35
2022-03-07,603816,47.2,46.03,47.42,45.08,44606,293290096.0,4.89,-3.82,-1.83,0.71
2022-03-08,603816,45.86,44.53,46.42,44.22,17874,116004955.0,4.78,-3.26,-1.5,0.28
2022-03-09,603816,44.82,45.12,45.64,42.29,41148,260402578.0,7.52,1.32,0.59,0.65
2022-03-10,603816,45.12,45.13,47.06,44.51,28608,187984003.0,5.65,0.02,0.01,0.45
2022-03-11,603816,44.49,44.86,44.97,43.59,19301,123341851.0,3.06,-0.6,-0.27,0.31
2022-03-14,603816,44.15,43.86,44.36,43.02,18394,116294482.0,2.99,-2.23,-1.0,0.29
