日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-01-04,600098,7.22,7.15,7.31,7.11,95579,76577838.0,2.75,-1.52,-0.11,0.35
2022-01-05,600098,7.15,7.43,7.52,6.83,251679,200453180.0,9.65,3.92,0.28,0.93
2022-01-06,600098,7.33,7.72,8.11,7.28,334923,287624048.0,11.17,3.9,0.29,1.24
2022-01-07,600098,7.72,7.57,7.75,7.46,121571,101810159.0,3.76,-1.94,-0.15,0.45
2022-01-10,600098,7.57,7.38,7.57,7.28,83726,68597628.0,3.83,-2.51,-0.19,0.31
2022-01-11,600098,7.38,7.35,7.46,7.28,58359,47798957.0,2.44,-0.41,-0.03,0.22
2022-01-12,600098,7.33,7.23,7.41,7.02,117183,93523794.0,5.31,-1.63,-0.12,0.43
2022-01-13,600098,7.25,7.07,7.25,7.06,60380,47985031.0,2.63,-2.21,-0.16,0.22
2022-01-14,600098,7.07,6.81,7.09,6.71,116387,89803323.0,5.37,-3.68,-0.26,0.43
2022-01-17,600098,6.78,6.84,6.88,6.74,54454,41578103.0,2.06,0.44,0.03,0.2
2022-01-18,600098,6.88,6.91,7.02,6.73,67288,52039746.0,4.24,1.02,0.07,0.25
2022-01-19,600098,6.86,6.83,6.91,6.76,45973,35184442.0,2.17,-1.16,-0.08,0.17
2022-01-20,600098,6.84,6.96,7.09,6.83,78005,60615424.0,3.81,1.9,0.13,0.29
2022-01-21,600098,6.93,6.77,7.03,6.77,53087,40890010.0,3.74,-2.73,-0.19,0.2
2022-01-24,600098,6.7,6.74,6.8,6.54,39421,29574104.0,3.84,-0.44,-0.03,0.15
2022-01-25,600098,6.68,6.38,6.74,6.26,91415,66465928.0,7.12,-5.34,-0.36,0.34
2022-01-26,600098,6.37,6.41,6.45,6.3,39967,28820222.0,2.35,0.47,0.03,0.15
2022-01-27,600098,6.43,6.26,6.49,6.26,53058,38138328.0,3.59,-2.34,-0.15,0.2
2022-01-28,600098,6.3,6.38,6.48,6.16,39583,28303355.0,5.11,1.92,0.12,0.15
2022-02-07,600098,6.4,6.47,6.62,6.37,55432,40599896.0,3.92,1.41,0.09,0.21
2022-02-08,600098,6.43,6.52,6.55,6.39,91910,66905656.0,2.47,0.77,0.05,0.34
2022-02-09,600098,6.48,6.83,6.98,6.46,171962,129953942.0,7.98,4.75,0.31,0.64
2022-02-10,600098,6.82,6.72,6.85,6.64,89947,67938589.0,3.07,-1.61,-0.11,0.33
2022-02-11,600098,6.68,6.44,6.72,6.43,73842,54380514.0,4.32,-4.17,-0.28,0.27
2022-02-14,600098,6.43,6.26,6.43,6.23,81838,58300760.0,3.11,-2.8,-0.18,0.3
2022-02-15,600098,6.25,6.28,6.31,6.19,32625,23102023.0,1.92,0.32,0.02,0.12
2022-02-16,600098,6.29,6.29,6.36,6.24,41949,29839303.0,1.91,0.16,0.01,0.16
2022-02-17,600098,6.29,6.22,6.31,6.2,56767,40070701.0,1.75,-1.11,-0.07,0.21
2022-02-18,600098,6.19,6.24,6.25,6.11,43077,30165624.0,2.25,0.32,0.02,0.16
2022-02-21,600098,6.25,6.16,6.25,6.12,106208,74133152.0,2.08,-1.28,-0.08,0.39
2022-02-22,600098,6.13,5.99,6.13,5.93,97368,66445964.0,3.25,-2.76,-0.17,0.36
2022-02-23,600098,6.02,6.07,6.09,6.0,57704,39642839.0,1.5,1.34,0.08,0.21
2022-02-24,600098,6.1,6.06,6.26,5.98,157772,109759216.0,4.61,-0.16,-0.01,0.58
2022-02-25,600098,6.13,6.26,6.33,6.0,133711,93517831.0,5.45,3.3,0.2,0.5
2022-02-28,600098,6.27,6.22,6.38,6.16,73628,52028281.0,3.51,-0.64,-0.04,0.27
2022-03-01,600098,6.23,6.25,6.33,6.16,63733,44945493.0,2.73,0.48,0.03,0.24
2022-03-02,600098,6.23,6.25,6.26,6.17,57108,40147353.0,1.44,0.0,0.0,0.21
2022-03-03,600098,6.25,6.34,6.42,6.25,105753,75793521.0,2.72,1.44,0.09,0.39
2022-03-04,600098,6.37,6.26,6.4,6.21,75065,53192466.0,3.0,-1.26,-0.08,0.28
2022-03-07,600098,6.23,6.16,6.31,6.09,62712,44059899.0,3.51,-1.6,-0.1,0.23
2022-03-08,600098,6.12,5.87,6.16,5.84,65185,44333897.0,5.19,-4.71,-0.29,0.24
2022-03-09,600098,5.88,5.9,6.05,5.55,75804,50465642.0,8.52,0.51,0.03,0.28
2022-03-10,600098,6.01,6.01,6.1,5.83,67613,46150386.0,4.58,1.86,0.11,0.25
2022-03-11,600098,5.93,5.99,6.01,5.81,47058,31612938.0,3.33,-0.33,-0.02,0.17
2022-03-14,600098,5.98,5.74,5.98,5.7,49503,32937112.0,4.67,-4.17,-0.25,0.18
2022-03-15,600098,5.71,5.32,5.74,5.24,101873,63723079.0,8.71,-7.32,-0.42,0.38
2022-03-16,600098,5.38,5.45,5.46,5.21,62311,38397398.0,4.7,2.44,0.13,0.23
2022-03-17,600098,5.49,5.65,5.68,5.38,88667,56069757.0,5.5,3.67,0.2,0.33
2022-03-18,600098,5.59,5.67,5.91,5.51,91969,59859538.0,7.08,0.35,0.02,0.34
2022-03-21,600098,5.6,5.6,5.64,5.54,56175,35990396.0,1.76,-1.23,-0.07,0.21
2022-03-22,600098,5.58,5.61,5.7,5.53,35995,23095868.0,3.04,0.18,0.01,0.13
2022-03-23,600098,5.63,5.63,5.74,5.61,38760,25138311.0,2.32,0.36,0.02,0.14
2022-03-24,600098,5.62,5.54,5.63,5.53,32877,21006806.0,1.78,-1.6,-0.09,0.12
2022-03-25,600098,5.54,5.48,5.58,5.46,42221,26754444.0,2.17,-1.08,-0.06,0.16
2022-03-28,600098,5.43,5.52,5.55,5.4,34553,21774102.0,2.74,0.73,0.04,0.13
2022-03-29,600098,5.51,5.52,5.62,5.51,28951,18422668.0,1.99,0.0,0.0,0.11
2022-03-30,600098,5.54,5.55,5.56,5.45,45117,28557808.0,1.99,0.54,0.03,0.17
2022-03-31,600098,5.55,5.52,5.59,5.49,36046,22928982.0,1.8,-0.54,-0.03,0.13
2022-04-01,600098,5.57,5.54,5.57,5.48,36301,23008403.0,1.63,0.36,0.02,0.13
2022-04-06,600098,5.51,5.61,5.65,5.5,42565,27223681.0,2.71,1.26,0.07,0.16
2022-04-07,600098,5.59,5.41,5.61,5.41,45174,28526450.0,3.57,-3.57,-0.2,0.17
2022-04-08,600098,5.38,5.42,5.45,5.3,40815,25295778.0,2.77,0.18,0.01,0.15
2022-04-11,600098,5.4,5.16,5.43,5.04,90966,55054176.0,7.2,-4.8,-0.26,0.34
2022-04-12,600098,5.16,5.14,5.16,5.01,87714,51784606.0,2.91,-0.39,-0.02,0.32
2022-04-13,600098,5.14,5.11,5.19,5.05,66562,39461389.0,2.72,-0.58,-0.03,0.25
2022-04-14,600098,5.14,5.15,5.18,5.11,41319,24676307.0,1.37,0.78,0.04,0.15
2022-04-15,600098,5.12,5.12,5.23,5.09,49944,29834381.0,2.72,-0.58,-0.03,0.19
2022-04-18,600098,5.13,5.03,5.13,5.0,48429,28385881.0,2.54,-1.76,-0.09,0.18
2022-04-19,600098,5.06,5.06,5.2,5.03,70024,41445926.0,3.38,0.6,0.03,0.26
2022-04-20,600098,5.06,5.0,5.13,4.97,49449,28977500.0,3.16,-1.19,-0.06,0.18
2022-04-21,600098,4.96,4.82,4.99,4.77,81636,46586204.0,4.4,-3.6,-0.18,0.3
2022-04-22,600098,4.81,4.91,4.95,4.67,77004,43424599.0,5.81,1.87,0.09,0.29
2022-04-25,600098,4.85,4.55,4.87,4.46,81628,44953292.0,8.35,-7.33,-0.36,0.3
2022-04-26,600098,4.52,4.33,4.58,4.29,70962,37289439.0,6.37,-4.84,-0.22,0.26
2022-04-27,600098,4.29,4.52,4.52,4.25,75567,39381532.0,6.24,4.39,0.19,0.28
2022-04-28,600098,4.52,4.55,4.63,4.46,61522,33099174.0,3.76,0.66,0.03,0.23
2022-04-29,600098,4.58,4.72,4.74,4.58,55818,30653687.0,3.52,3.74,0.17,0.21
2022-05-05,600098,4.78,4.89,4.92,4.73,71234,40408565.0,4.03,3.6,0.17,0.26
2022-05-06,600098,4.85,4.81,4.85,4.71,51061,28705291.0,2.86,-1.64,-0.08,0.19
2022-05-09,600098,4.78,4.91,4.94,4.76,45482,25932036.0,3.74,2.08,0.1,0.17
2022-05-10,600098,4.89,5.01,5.05,4.8,67507,38951478.0,5.09,2.04,0.1,0.25
2022-05-11,600098,5.01,5.03,5.12,5.0,68360,40217749.0,2.4,0.4,0.02,0.25
2022-05-12,600098,4.99,5.07,5.16,4.98,61239,36149990.0,3.58,0.8,0.04,0.23
2022-05-13,600098,5.06,5.13,5.15,5.03,84737,50187951.0,2.37,1.18,0.06,0.31
2022-05-16,600098,5.16,5.08,5.16,5.02,54282,31934625.0,2.73,-0.97,-0.05,0.2
2022-05-17,600098,5.07,5.0,5.09,4.95,51472,29929133.0,2.76,-1.57,-0.08,0.19
2022-05-18,600098,4.99,5.0,5.05,4.98,53170,31005390.0,1.4,0.0,0.0,0.2
2022-05-19,600098,4.98,5.0,5.01,4.88,63562,36684341.0,2.6,0.0,0.0,0.24
2022-05-20,600098,5.03,5.03,5.1,4.97,89888,52495967.0,2.6,0.6,0.03,0.33
2022-05-23,600098,5.02,5.02,5.04,4.97,59916,34868201.0,1.39,-0.2,-0.01,0.22
2022-05-24,600098,5.6,5.6,5.6,5.51,212554,136403481.0,1.79,11.55,0.58,0.79
2022-05-25,600098,5.78,6.24,6.24,5.39,1038870,702906320.0,15.18,11.43,0.64,3.85
2022-05-26,600098,5.98,6.13,6.94,5.86,1008422,730381232.0,17.31,-1.76,-0.11,3.74
2022-05-27,600098,6.11,5.89,6.18,5.78,675017,455422496.0,6.53,-3.92,-0.24,2.5
2022-05-30,600098,5.79,5.65,5.86,5.6,422460,274082032.0,4.41,-4.07,-0.24,1.57
2022-05-31,600098,5.7,5.68,5.9,5.6,421307,274869824.0,5.31,0.53,0.03,1.56
2022-06-01,600098,5.68,5.78,5.78,5.5,403008,260862432.0,4.93,1.76,0.1,1.49
2022-06-02,600098,5.81,6.12,6.44,5.68,735011,511726864.0,13.15,5.88,0.34,2.72
2022-06-06,600098,6.13,5.93,6.14,5.84,428591,289588352.0,4.9,-3.1,-0.19,1.59
2022-06-07,600098,5.95,6.4,6.58,5.87,682492,482302736.0,11.97,7.93,0.47,2.53
2022-06-08,600098,6.26,6.31,6.42,6.08,433032,306250992.0,5.31,-1.41,-0.09,1.6
2022-06-09,600098,6.27,6.0,6.38,5.99,323151,225931556.0,6.18,-4.91,-0.31,1.2
2022-06-10,600098,5.96,6.0,6.13,5.88,221378,151754539.0,4.17,0.0,0.0,0.82
2022-06-13,600098,6.0,6.3,6.36,5.85,412811,289888144.0,8.5,5.0,0.3,1.53
2022-06-14,600098,6.13,6.47,6.56,6.09,434180,312498592.0,7.46,2.7,0.17,1.61
2022-06-15,600098,6.48,6.33,6.63,6.26,422226,304824560.0,5.72,-2.16,-0.14,1.56
2022-06-16,600098,6.29,6.15,6.33,6.06,263532,184065409.0,4.27,-2.84,-0.18,0.98
2022-06-17,600098,6.1,6.17,6.34,6.07,171566,120169016.0,4.39,0.33,0.02,0.64
2022-06-20,600098,6.12,6.14,6.25,6.0,213483,148360079.0,4.05,-0.49,-0.03,0.79
2022-06-21,600098,6.14,5.91,6.19,5.87,234423,159184836.0,5.21,-3.75,-0.23,0.87
2022-06-22,600098,5.88,5.77,5.92,5.7,196911,130337832.0,3.72,-2.37,-0.14,0.73
2022-06-23,600098,5.75,5.79,5.82,5.63,153452,100570993.0,3.29,0.35,0.02,0.57
2022-06-24,600098,5.79,5.87,5.88,5.74,150237,99845462.0,2.42,1.38,0.08,0.56
2022-06-27,600098,5.87,5.86,5.91,5.81,131922,88001760.0,1.7,-0.17,-0.01,0.49
2022-06-28,600098,5.87,5.88,5.96,5.81,142569,95352249.0,2.56,0.34,0.02,0.53
2022-06-29,600098,5.91,5.71,5.96,5.67,132867,86610206.0,4.93,-2.89,-0.17,0.49
2022-06-30,600098,5.68,5.54,5.73,5.5,398891,252480805.0,4.03,-2.98,-0.17,1.24
2022-07-01,600098,5.54,5.49,5.65,5.43,246402,154139813.0,3.97,-0.9,-0.05,0.77
2022-07-04,600098,5.53,5.36,5.6,5.3,522844,320377520.0,5.46,-2.37,-0.13,1.63
2022-07-05,600098,5.36,5.18,5.39,5.06,783344,465582736.0,6.16,-3.36,-0.18,2.44
2022-07-06,600098,5.18,5.16,5.27,5.08,336509,197604830.0,3.67,-0.39,-0.02,1.05
2022-07-07,600098,5.2,5.29,5.32,5.15,360284,215312958.0,3.29,2.52,0.13,1.12
2022-07-08,600098,5.34,5.44,5.44,5.3,454386,277628480.0,2.65,2.84,0.15,1.42
2022-07-11,600098,5.45,5.37,5.58,5.32,501103,309022896.0,4.78,-1.29,-0.07,1.56
2022-07-12,600098,5.38,5.43,5.53,5.27,350853,215726745.0,4.84,1.12,0.06,1.09
2022-07-13,600098,5.48,5.55,5.58,5.43,491254,306289290.0,2.76,2.21,0.12,1.53
