日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-01-04,300395,43.14,43.18,43.42,40.85,51043,326059824.0,5.96,0.09,0.04,1.62
2022-01-05,300395,43.06,40.78,43.62,40.45,53408,336890096.0,7.34,-5.56,-2.4,1.7
2022-01-06,300395,39.98,39.61,41.7,38.57,62320,375409072.0,7.68,-2.87,-1.17,1.98
2022-01-07,300395,39.46,39.0,40.5,38.91,32792,198290285.0,4.01,-1.54,-0.61,1.04
2022-01-10,300395,39.31,38.26,39.48,38.05,31859,188041665.0,3.67,-1.9,-0.74,1.01
2022-01-11,300395,38.42,36.71,38.62,36.35,46250,261737406.0,5.93,-4.05,-1.55,1.47
2022-01-12,300395,36.9,37.88,38.24,36.75,28945,167104720.0,4.06,3.19,1.17,0.92
2022-01-13,300395,37.5,38.12,39.31,37.16,38045,222586373.0,5.68,0.63,0.24,1.21
2022-01-14,300395,38.24,38.94,39.72,37.89,24500,145720504.0,4.8,2.15,0.82,0.78
2022-01-17,300395,38.7,39.62,40.1,38.3,32094,193776879.0,4.62,1.75,0.68,1.02
2022-01-18,300395,39.78,39.76,40.76,38.72,48755,295758240.0,5.15,0.35,0.14,1.55
2022-01-19,300395,39.7,38.24,39.98,37.62,49138,288130352.0,5.94,-3.82,-1.52,1.56
2022-01-20,300395,38.46,35.89,38.95,35.65,64715,359981968.0,8.63,-6.15,-2.35,2.06
2022-01-21,300395,35.91,34.52,35.97,33.78,73043,384222336.0,6.1,-3.82,-1.37,2.32
2022-01-24,300395,34.61,36.04,37.04,34.61,41984,230864960.0,7.04,4.4,1.52,1.34
2022-01-25,300395,36.3,35.69,37.06,35.5,24692,136390528.0,4.33,-0.97,-0.35,0.79
2022-01-26,300395,35.72,35.69,36.28,34.98,21630,117841289.0,3.64,0.0,0.0,0.69
2022-01-27,300395,35.46,35.54,36.42,35.32,40859,224187327.0,3.08,-0.42,-0.15,1.3
2022-01-28,300395,35.49,36.57,37.29,34.57,43656,241691116.0,7.65,2.9,1.03,1.39
2022-02-07,300395,36.58,35.14,37.22,35.0,27872,152438943.0,6.07,-3.91,-1.43,0.89
2022-02-08,300395,35.12,35.01,35.66,34.02,37782,200563676.0,4.67,-0.37,-0.13,1.2
2022-02-09,300395,35.21,35.93,36.24,34.57,30580,165119449.0,4.77,2.63,0.92,0.97
2022-02-10,300395,35.98,35.56,36.94,35.3,26018,144140650.0,4.56,-1.03,-0.37,0.83
2022-02-11,300395,35.1,34.85,35.78,34.12,22724,120922162.0,4.67,-2.0,-0.71,0.72
2022-02-14,300395,34.12,34.41,35.83,33.92,24375,129583775.0,5.48,-1.26,-0.44,0.78
2022-02-15,300395,34.12,36.14,36.29,34.12,27398,149069387.0,6.31,5.03,1.73,0.87
2022-02-16,300395,35.99,34.91,36.21,34.45,30969,165205749.0,4.87,-3.4,-1.23,0.99
2022-02-17,300395,34.56,35.06,35.19,34.38,19530,104093398.0,2.32,0.43,0.15,0.62
2022-02-18,300395,34.7,34.76,34.92,34.22,22508,118999877.0,2.0,-0.86,-0.3,0.72
2022-02-21,300395,35.05,34.37,35.06,34.25,15385,81205248.0,2.33,-1.12,-0.39,0.49
2022-02-22,300395,33.98,33.58,34.51,32.22,63191,317736016.0,6.66,-2.3,-0.79,2.01
2022-02-23,300395,33.29,35.22,35.3,32.92,44370,234570064.0,7.09,4.88,1.64,1.41
2022-02-24,300395,35.78,36.34,36.58,34.55,45331,248859181.0,5.76,3.18,1.12,1.44
2022-02-25,300395,36.25,36.06,36.76,35.7,31013,171548193.0,2.92,-0.77,-0.28,0.99
2022-02-28,300395,35.96,36.81,37.5,35.91,22262,125017990.0,4.41,2.08,0.75,0.71
2022-03-01,300395,36.81,37.11,37.32,36.32,26238,148185075.0,2.72,0.81,0.3,0.83
2022-03-02,300395,37.14,36.75,37.3,36.52,20038,113029907.0,2.1,-0.97,-0.36,0.64
2022-03-03,300395,36.61,35.73,37.3,35.54,17833,97786843.0,4.79,-2.78,-1.02,0.57
2022-03-04,300395,35.73,35.4,36.7,35.15,20768,113914320.0,4.34,-0.92,-0.33,0.66
