日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-01-04,002385,10.34,10.78,10.92,10.32,1878029,2041793616.0,5.81,4.36,0.45,6.07
2022-01-05,002385,10.72,10.52,10.94,10.45,1366543,1480022272.0,4.55,-2.41,-0.26,4.42
2022-01-06,002385,10.42,10.43,10.57,10.21,937046,988388832.0,3.42,-0.86,-0.09,3.03
2022-01-07,002385,10.4,9.74,10.49,9.72,1804412,1831659664.0,7.38,-6.62,-0.69,5.83
2022-01-10,002385,9.64,9.92,9.95,9.46,1036044,1030097808.0,5.03,1.85,0.18,3.35
2022-01-11,002385,9.98,9.55,10.07,9.5,1074438,1061025600.0,5.75,-3.73,-0.37,3.47
2022-01-12,002385,9.53,9.36,9.56,9.1,1471473,1388489392.0,4.82,-1.99,-0.19,4.76
2022-01-13,002385,9.29,9.26,9.51,9.19,900773,854443136.0,3.42,-1.07,-0.1,2.91
2022-01-14,002385,9.22,9.28,9.36,9.13,746991,702893584.0,2.48,0.22,0.02,2.41
2022-01-17,002385,9.4,9.35,9.61,9.18,948743,903126768.0,4.63,0.75,0.07,3.07
2022-01-18,002385,9.34,9.33,9.43,9.23,726335,688711632.0,2.14,-0.21,-0.02,2.35
2022-01-19,002385,9.33,9.2,9.34,9.08,524682,490517104.0,2.79,-1.39,-0.13,1.7
2022-01-20,002385,9.18,9.21,9.43,9.13,874037,827375760.0,3.26,0.11,0.01,2.82
2022-01-21,002385,9.23,8.88,9.23,8.83,834930,761202368.0,4.34,-3.58,-0.33,2.7
2022-01-24,002385,8.84,9.26,9.43,8.8,940493,879138624.0,7.09,4.28,0.38,3.04
2022-01-25,002385,9.35,8.85,9.45,8.8,808133,747915296.0,7.02,-4.43,-0.41,2.61
2022-01-26,002385,8.83,9.12,9.14,8.81,656848,599684560.0,3.73,3.05,0.27,2.12
2022-01-27,002385,9.03,8.83,9.21,8.83,610952,560113888.0,4.17,-3.18,-0.29,1.97
2022-01-28,002385,8.94,8.99,9.12,8.77,639058,583247024.0,3.96,1.81,0.16,2.07
2022-02-07,002385,9.14,9.29,9.36,8.86,932100,870048752.0,5.56,3.34,0.3,3.01
2022-02-08,002385,9.28,9.29,9.4,9.11,717916,675593488.0,3.12,0.0,0.0,2.32
