日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-01-04,600497,4.5,4.54,4.55,4.45,610238,305864432.0,2.23,1.34,0.06,1.2
2022-01-05,600497,4.55,4.49,4.56,4.45,554166,277174336.0,2.42,-1.1,-0.05,1.09
2022-01-06,600497,4.47,4.51,4.52,4.45,352338,176461062.0,1.56,0.45,0.02,0.69
2022-01-07,600497,4.5,4.53,4.55,4.49,522267,262767467.0,1.33,0.44,0.02,1.03
2022-01-10,600497,4.51,4.57,4.58,4.5,572671,289580592.0,1.77,0.88,0.04,1.12
2022-01-11,600497,4.57,4.58,4.59,4.54,436260,221597244.0,1.09,0.22,0.01,0.86
2022-01-12,600497,4.63,4.71,4.72,4.59,1022953,528926352.0,2.84,2.84,0.13,2.01
2022-01-13,600497,4.7,4.77,4.94,4.68,1848454,989094752.0,5.52,1.27,0.06,3.63
2022-01-14,600497,4.79,4.62,4.79,4.59,851630,440271968.0,4.19,-3.14,-0.15,1.67
2022-01-17,600497,4.57,4.58,4.64,4.54,493821,251198158.0,2.16,-0.87,-0.04,0.97
2022-01-18,600497,4.58,4.58,4.61,4.55,393592,200440299.0,1.31,0.0,0.0,0.77
2022-01-19,600497,4.58,4.59,4.63,4.56,448713,228820833.0,1.53,0.22,0.01,0.88
2022-01-20,600497,4.62,4.6,4.66,4.55,557806,285215136.0,2.4,0.22,0.01,1.1
2022-01-21,600497,4.61,4.64,4.65,4.56,693985,355521744.0,1.96,0.87,0.04,1.36
2022-01-24,600497,4.6,4.48,4.6,4.46,563287,282107120.0,3.02,-3.45,-0.16,1.11
2022-01-25,600497,4.44,4.28,4.48,4.27,654278,318684848.0,4.69,-4.46,-0.2,1.29
2022-01-26,600497,4.3,4.31,4.33,4.26,417105,200385449.0,1.64,0.7,0.03,0.82
2022-01-27,600497,4.29,4.19,4.31,4.18,422621,200191553.0,3.02,-2.78,-0.12,0.83
2022-01-28,600497,4.26,4.2,4.28,4.17,391364,184644500.0,2.63,0.24,0.01,0.77
2022-02-07,600497,4.26,4.32,4.34,4.25,439197,211472171.0,2.14,2.86,0.12,0.86
2022-02-08,600497,4.3,4.46,4.47,4.3,515985,253643044.0,3.94,3.24,0.14,1.01
2022-02-09,600497,4.44,4.65,4.67,4.44,1124366,577354912.0,5.16,4.26,0.19,2.21
2022-02-10,600497,4.68,4.79,4.91,4.68,1715751,913123824.0,4.95,3.01,0.14,3.37
2022-02-11,600497,4.77,4.75,4.85,4.73,929811,493506512.0,2.51,-0.84,-0.04,1.83
2022-02-14,600497,4.73,4.67,4.8,4.65,714002,373188352.0,3.16,-1.68,-0.08,1.4
2022-02-15,600497,4.66,4.62,4.73,4.58,450797,231898169.0,3.21,-1.07,-0.05,0.89
2022-02-16,600497,4.64,4.65,4.71,4.63,408293,211274706.0,1.73,0.65,0.03,0.8
2022-02-17,600497,4.66,4.64,4.69,4.61,350627,180859080.0,1.72,-0.22,-0.01,0.69
2022-02-18,600497,4.64,4.71,4.74,4.62,433412,225185117.0,2.59,1.51,0.07,0.85
2022-02-21,600497,4.69,4.66,4.7,4.62,363309,187687518.0,1.7,-1.06,-0.05,0.71
2022-02-22,600497,4.65,4.71,4.73,4.63,564432,292968896.0,2.15,1.07,0.05,1.11
2022-02-23,600497,4.81,4.79,4.83,4.72,742595,391567648.0,2.34,1.7,0.08,1.46
2022-02-24,600497,4.73,4.69,4.91,4.61,1088998,571407760.0,6.26,-2.09,-0.1,2.14
2022-02-25,600497,4.71,4.73,4.84,4.69,860793,454335856.0,3.2,0.85,0.04,1.69
2022-02-28,600497,4.73,4.78,4.79,4.62,880228,460316192.0,3.59,1.06,0.05,1.73
2022-03-01,600497,4.8,4.79,4.8,4.67,716573,376722800.0,2.72,0.21,0.01,1.41
2022-03-02,600497,4.81,4.89,5.01,4.81,1515620,821843648.0,4.18,2.09,0.1,2.98
2022-03-03,600497,5.01,5.06,5.29,4.99,1849367,1047896336.0,6.13,3.48,0.17,3.63
2022-03-04,600497,5.08,5.08,5.18,4.97,1249697,697976640.0,4.15,0.4,0.02,2.45
2022-03-07,600497,5.23,5.24,5.36,5.18,2225364,1286989264.0,3.54,3.15,0.16,4.37
2022-03-08,600497,5.24,5.27,5.52,4.94,2973397,1715302208.0,11.07,0.57,0.03,5.84
2022-03-09,600497,4.99,4.88,5.07,4.69,2690509,1448170800.0,7.21,-7.4,-0.39,5.28
2022-03-10,600497,4.69,4.8,4.85,4.56,1814757,951990032.0,5.94,-1.64,-0.08,3.56
2022-03-11,600497,4.69,4.77,4.82,4.59,1045306,545962144.0,4.79,-0.63,-0.03,2.05
2022-03-14,600497,4.68,4.44,4.79,4.42,1222668,624761936.0,7.76,-6.92,-0.33,2.4
2022-03-15,600497,4.4,4.02,4.4,4.0,1555763,733167840.0,9.01,-9.46,-0.42,3.06
2022-03-16,600497,4.09,4.16,4.18,3.87,932727,423735456.0,7.71,3.48,0.14,1.83
2022-03-17,600497,4.22,4.13,4.26,4.11,900943,422627248.0,3.61,-0.72,-0.03,1.77
2022-03-18,600497,4.11,4.35,4.36,4.09,811554,386206336.0,6.54,5.33,0.22,1.59
2022-03-21,600497,4.36,4.37,4.42,4.27,733952,357272944.0,3.45,0.46,0.02,1.44
2022-03-22,600497,4.37,4.51,4.54,4.33,791034,394326656.0,4.81,3.2,0.14,1.55
2022-03-23,600497,4.47,4.55,4.58,4.43,647396,324887984.0,3.33,0.89,0.04,1.27
2022-03-24,600497,4.64,4.84,4.99,4.62,1824144,980772112.0,8.13,6.37,0.29,3.58
2022-03-25,600497,4.79,4.73,4.9,4.7,990214,525325456.0,4.13,-2.27,-0.11,1.94
2022-03-28,600497,4.65,4.76,4.81,4.58,732180,382080688.0,4.86,0.63,0.03,1.44
2022-03-29,600497,4.77,4.77,4.81,4.7,554516,292481968.0,2.31,0.21,0.01,1.09
2022-03-30,600497,4.74,4.73,4.77,4.71,506001,265553716.0,1.26,-0.84,-0.04,0.99
2022-03-31,600497,4.76,4.64,4.78,4.62,581064,301099664.0,3.38,-1.9,-0.09,1.14
2022-04-01,600497,4.59,4.64,4.72,4.58,491133,253820893.0,3.02,0.0,0.0,0.96
2022-04-06,600497,4.65,4.76,4.79,4.51,1080771,559277920.0,6.03,2.59,0.12,2.12
2022-04-07,600497,4.7,4.61,4.72,4.61,683518,353797520.0,2.31,-3.15,-0.15,1.34
2022-04-08,600497,4.59,4.64,4.71,4.51,558237,285986400.0,4.34,0.65,0.03,1.1
2022-04-11,600497,4.62,4.59,4.7,4.57,975105,501986528.0,2.8,-1.08,-0.05,1.92
2022-04-12,600497,4.54,4.9,4.93,4.52,1248363,660952768.0,8.93,6.75,0.31,2.45
2022-04-13,600497,4.89,5.25,5.33,4.81,2104795,1184210640.0,10.61,7.14,0.35,4.13
2022-04-14,600497,5.18,5.49,5.57,5.14,2961170,1767439536.0,8.19,4.57,0.24,5.82
2022-04-15,600497,5.4,5.36,5.51,5.26,1930155,1144892976.0,4.55,-2.37,-0.13,3.79
2022-04-18,600497,5.28,5.22,5.36,5.11,1240229,709342464.0,4.66,-2.61,-0.14,2.44
2022-04-19,600497,5.31,5.49,5.51,5.31,1357900,805809824.0,3.83,5.17,0.27,2.67
2022-04-20,600497,5.34,5.12,5.4,5.07,1096142,628720752.0,6.01,-6.74,-0.37,2.15
2022-04-21,600497,5.08,4.77,5.11,4.74,969947,524184784.0,7.23,-6.84,-0.35,1.91
2022-04-22,600497,4.71,5.0,5.07,4.55,1426278,756407520.0,10.9,4.82,0.23,2.8
2022-04-25,600497,4.84,4.45,4.86,4.45,1565875,801633872.0,8.2,-11.0,-0.55,3.08
2022-04-26,600497,4.35,4.2,4.4,4.15,1102832,525539408.0,5.62,-5.62,-0.25,2.17
2022-04-27,600497,4.11,4.4,4.47,4.11,1078816,520929264.0,8.57,4.76,0.2,2.12
2022-04-28,600497,4.38,4.37,4.43,4.29,625099,305103520.0,3.18,-0.68,-0.03,1.23
2022-04-29,600497,4.41,4.6,4.69,4.38,822837,415887008.0,7.09,5.26,0.23,1.62
2022-05-05,600497,4.55,4.56,4.64,4.48,666509,337784448.0,3.48,-0.87,-0.04,1.31
2022-05-06,600497,4.41,4.27,4.44,4.24,1113825,536899280.0,4.39,-6.36,-0.29,2.19
2022-05-09,600497,4.2,4.26,4.3,4.19,667031,316971280.0,2.58,-0.23,-0.01,1.31
2022-05-10,600497,4.17,4.24,4.24,4.06,986575,459211184.0,4.23,-0.47,-0.02,1.94
2022-05-11,600497,4.19,4.27,4.39,4.19,887273,426456992.0,4.72,0.71,0.03,1.74
2022-05-12,600497,4.24,4.22,4.29,4.16,600718,284900176.0,3.04,-1.17,-0.05,1.18
2022-05-13,600497,4.22,4.27,4.27,4.16,521491,246806688.0,2.61,1.18,0.05,1.02
2022-05-16,600497,4.28,4.35,4.37,4.26,777956,376129920.0,2.58,1.87,0.08,1.53
2022-05-17,600497,4.37,4.41,4.44,4.32,629197,307757984.0,2.76,1.38,0.06,1.24
2022-05-18,600497,4.41,4.35,4.42,4.33,518521,252365312.0,2.04,-1.36,-0.06,1.02
2022-05-19,600497,4.26,4.28,4.31,4.18,759852,361217744.0,2.99,-1.61,-0.07,1.49
2022-05-20,600497,4.34,4.49,4.52,4.32,1256674,619662032.0,4.67,4.91,0.21,2.47
2022-05-23,600497,4.5,4.57,4.61,4.46,805506,407558768.0,3.34,1.78,0.08,1.58
2022-05-24,600497,4.6,4.37,4.62,4.37,999708,501203472.0,5.47,-4.38,-0.2,1.96
2022-05-25,600497,4.4,4.43,4.51,4.38,786376,389644864.0,2.97,1.37,0.06,1.54
2022-05-26,600497,4.44,4.4,4.46,4.31,793439,388273600.0,3.39,-0.68,-0.03,1.56
2022-05-27,600497,4.43,4.39,4.46,4.33,618522,304213936.0,2.95,-0.23,-0.01,1.21
2022-05-30,600497,4.4,4.44,4.52,4.39,909934,451272736.0,2.96,1.14,0.05,1.79
2022-05-31,600497,4.43,4.43,4.43,4.35,752708,368563712.0,1.8,-0.23,-0.01,1.48
2022-06-01,600497,4.39,4.32,4.4,4.27,1099400,531880560.0,2.93,-2.48,-0.11,2.16
2022-06-02,600497,4.3,4.38,4.4,4.28,810499,394677792.0,2.78,1.39,0.06,1.59
2022-06-06,600497,4.38,4.54,4.54,4.37,1226741,610907328.0,3.88,3.65,0.16,2.41
2022-06-07,600497,4.52,5.05,5.05,4.5,2765553,1486734688.0,12.11,11.23,0.51,5.43
2022-06-08,600497,5.27,5.4,5.45,5.22,4059389,2386210928.0,4.55,6.93,0.35,7.97
2022-06-09,600497,5.28,5.17,5.37,5.09,2177246,1246366128.0,5.19,-4.26,-0.23,4.28
2022-06-10,600497,5.13,5.28,5.36,5.08,1906157,1099104080.0,5.42,2.13,0.11,3.74
2022-06-13,600497,5.21,5.25,5.33,5.15,1515663,871552672.0,3.41,-0.57,-0.03,2.98
2022-06-14,600497,5.15,5.27,5.28,5.06,1169811,664773152.0,4.19,0.38,0.02,2.3
2022-06-15,600497,5.27,5.17,5.3,5.12,983039,562025248.0,3.42,-1.9,-0.1,1.93
2022-06-16,600497,5.18,5.12,5.26,5.08,898630,510798032.0,3.48,-0.97,-0.05,1.77
2022-06-17,600497,4.99,5.04,5.12,4.95,887493,491404368.0,3.32,-1.56,-0.08,1.74
2022-06-20,600497,5.05,4.89,5.12,4.87,1059280,578080912.0,4.96,-2.98,-0.15,2.08
2022-06-21,600497,4.93,4.76,4.94,4.71,896814,475660064.0,4.7,-2.66,-0.13,1.76
2022-06-22,600497,4.76,4.78,4.9,4.74,1026332,546908512.0,3.36,0.42,0.02,2.02
2022-06-23,600497,4.77,4.89,4.93,4.71,939399,501679056.0,4.6,2.3,0.11,1.85
2022-06-24,600497,4.91,4.75,4.91,4.71,1160854,615389360.0,4.09,-2.86,-0.14,2.28
2022-06-27,600497,4.74,4.72,4.83,4.71,1324099,697042960.0,2.53,-0.63,-0.03,2.6
2022-06-28,600497,4.75,4.84,4.86,4.72,1253388,665459008.0,2.97,2.54,0.12,2.46
2022-06-29,600497,4.8,4.62,4.83,4.61,1555674,811610096.0,4.55,-4.55,-0.22,3.06
