selected_stocks
300458
300346
002607
688772
600970
603658
603899
003031
600497
601866
688387
600352
601608
600155
600925
002273
000050
300395
688349
601577
000519
002130
600339
600884
000783
300073
600816
600578
688525
000739
301536
601666
003031
603565
000937
600325
600925
600032
600208
002568
600312
000728
600153
300679
600079
688361
002056
002563
600060
002624
