日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-01-04,003031,42.08,41.04,42.33,39.79,18037,146875380.0,6.05,-2.22,-0.93,3.63
2022-01-05,003031,40.71,39.58,41.15,39.37,10734,85742471.0,4.34,-3.56,-1.46,2.16
2022-01-06,003031,39.28,40.95,41.88,39.26,22173,181808246.0,6.62,3.46,1.37,4.47
2022-01-07,003031,40.71,40.17,42.59,40.04,22483,185517590.0,6.23,-1.9,-0.78,4.53
2022-01-10,003031,40.72,38.68,41.25,38.51,13386,104707816.0,6.82,-3.71,-1.49,2.7
2022-01-11,003031,38.67,37.49,39.02,37.24,13956,105381853.0,4.6,-3.08,-1.19,2.81
2022-01-12,003031,37.79,38.64,38.72,37.7,9463,72532063.0,2.72,3.07,1.15,1.91
2022-01-13,003031,38.61,38.52,39.28,37.4,12811,98506126.0,4.87,-0.31,-0.12,2.58
2022-01-14,003031,38.52,39.46,39.74,37.6,7977,62253302.0,5.56,2.44,0.94,1.61
2022-02-07,003031,43.49,43.49,43.49,43.49,805,6986845.0,0.0,10.21,4.03,0.16
2022-02-08,003031,47.91,47.91,47.91,47.91,701,6690120.0,0.0,10.16,4.42,0.14
2022-02-09,003031,52.78,52.78,52.78,47.91,70059,725014560.0,10.16,10.16,4.87,14.12
2022-02-10,003031,53.82,54.34,57.59,50.35,75992,804710928.0,13.72,2.96,1.56,15.31
2022-02-11,003031,53.35,51.88,56.11,50.81,45848,486136048.0,9.75,-4.53,-2.46,9.24
2022-02-14,003031,51.05,48.71,51.26,48.54,38024,375875440.0,5.24,-6.11,-3.17,7.66
2022-02-15,003031,48.95,51.94,52.33,48.56,33385,338831424.0,7.74,6.63,3.23,6.73
2022-02-16,003031,50.99,51.04,52.73,50.25,21525,218304627.0,4.77,-1.73,-0.9,4.34
2022-02-17,003031,50.49,51.47,52.29,49.3,15956,161133319.0,5.86,0.84,0.43,3.22
2022-02-18,003031,50.81,50.47,51.27,49.07,13107,130904904.0,4.27,-1.94,-1.0,2.64
2022-02-21,003031,50.24,49.23,51.26,48.9,17455,172554560.0,4.68,-2.46,-1.24,3.52
2022-02-22,003031,48.8,49.53,50.24,47.18,18370,178208644.0,6.22,0.61,0.3,3.7
2022-02-23,003031,49.72,54.56,54.56,49.22,29829,312535360.0,10.78,10.16,5.03,6.01
2022-02-24,003031,55.35,54.46,59.12,53.67,38405,430692704.0,9.99,-0.18,-0.1,7.74
2022-02-25,003031,56.78,56.56,59.36,55.63,23595,268699600.0,6.85,3.86,2.1,4.75
2022-02-28,003031,56.55,54.74,57.41,54.11,16938,185169649.0,5.83,-3.22,-1.82,3.41
2022-03-01,003031,54.14,53.88,55.35,53.44,13046,140647380.0,3.49,-1.57,-0.86,2.63
2022-03-02,003031,53.73,53.04,54.17,52.67,9650,101924001.0,2.78,-1.56,-0.84,1.94
2022-03-03,003031,53.11,52.38,53.82,51.53,10444,108581348.0,4.32,-1.24,-0.66,2.1
2022-03-04,003031,52.38,52.27,54.33,51.84,12360,130679006.0,4.75,-0.21,-0.11,2.49
2022-03-07,003031,51.53,50.4,52.68,50.02,13871,140640600.0,5.09,-3.58,-1.87,2.79
2022-03-08,003031,51.75,51.08,53.31,50.4,13836,142204546.0,5.77,1.35,0.68,2.79
2022-03-09,003031,51.08,49.28,51.48,47.44,16326,160127852.0,7.91,-3.52,-1.8,3.29
2022-03-10,003031,50.25,50.57,51.67,50.25,12354,125061516.0,2.88,2.62,1.29,2.49
2022-03-11,003031,49.74,51.23,51.77,49.22,11988,121366611.0,5.04,1.31,0.66,2.42
2022-03-14,003031,50.34,49.16,50.75,48.96,9176,90535070.0,3.49,-4.04,-2.07,1.85
2022-03-15,003031,48.32,46.84,49.53,46.67,11732,112046265.0,5.82,-4.72,-2.32,2.36
2022-03-16,003031,47.67,49.1,49.48,45.14,15520,147176027.0,9.27,4.82,2.26,3.13
2022-03-17,003031,49.12,53.1,54.09,49.07,28513,298947664.0,10.22,8.15,4.0,5.75
2022-03-18,003031,53.0,50.75,53.82,49.78,18692,189942269.0,7.61,-4.43,-2.35,3.77
2022-03-21,003031,50.86,51.42,51.77,49.73,10824,109312418.0,4.02,1.32,0.67,2.18
2022-03-22,003031,50.77,51.2,52.62,50.0,7632,78109452.0,5.1,-0.43,-0.22,1.54
2022-03-23,003031,51.2,49.36,51.27,49.03,18031,178110255.0,4.38,-3.59,-1.84,3.63
2022-03-24,003031,49.74,48.03,49.75,47.8,14800,142213782.0,3.95,-2.69,-1.33,2.98
2022-03-25,003031,48.2,46.73,48.71,46.67,10273,96754955.0,4.25,-2.71,-1.3,2.07
2022-03-28,003031,46.9,47.19,47.95,45.72,8551,79686353.0,4.77,0.98,0.46,1.72
2022-03-29,003031,47.2,46.13,47.68,45.15,8970,82292523.0,5.36,-2.25,-1.06,1.81
2022-03-30,003031,46.25,47.44,48.21,46.25,5919,56003951.0,4.25,2.84,1.31,1.19
2022-03-31,003031,47.86,46.2,47.86,46.17,5353,49846980.0,3.56,-2.61,-1.24,1.08
2022-04-01,003031,46.18,46.29,48.11,45.82,7349,68808382.0,4.96,0.19,0.09,1.48
2022-04-06,003031,46.01,45.94,46.61,43.81,11851,107217879.0,6.05,-0.76,-0.35,2.39
2022-04-07,003031,45.43,44.17,45.9,44.12,5468,48730824.0,3.87,-3.85,-1.77,1.1
2022-04-08,003031,44.17,44.96,44.99,43.5,4880,43015715.0,3.37,1.79,0.79,0.98
2022-04-11,003031,44.96,42.59,44.96,42.08,6534,56183411.0,6.41,-5.27,-2.37,1.32
2022-04-12,003031,42.5,42.59,42.68,40.81,8546,71294575.0,4.39,0.0,0.0,1.72
2022-04-13,003031,42.37,40.65,42.38,40.18,9217,74749692.0,5.17,-4.56,-1.94,1.86
2022-04-14,003031,41.03,40.6,41.21,39.76,7395,59649564.0,3.57,-0.12,-0.05,1.49
2022-04-15,003031,40.62,40.04,40.62,39.28,4974,39396143.0,3.3,-1.38,-0.56,1.0
2022-04-18,003031,39.58,40.6,41.05,39.02,6514,52229561.0,5.07,1.4,0.56,1.31
2022-04-19,003031,40.62,40.97,41.98,40.61,6878,56805560.0,3.37,0.91,0.37,1.39
2022-04-20,003031,42.08,40.35,42.08,40.15,3693,30189507.0,4.71,-1.51,-0.62,0.74
2022-04-21,003031,40.34,39.33,40.68,38.83,4617,36489818.0,4.58,-2.53,-1.02,0.93
2022-04-22,003031,39.99,38.87,39.99,37.92,5924,45697754.0,5.26,-1.17,-0.46,1.19
2022-04-25,003031,38.0,35.4,38.51,35.24,10576,77196339.0,8.41,-8.93,-3.47,2.13
2022-04-26,003031,35.54,34.17,36.28,33.41,7256,50659893.0,8.11,-3.47,-1.23,1.46
2022-04-27,003031,33.37,36.67,37.28,32.82,14600,103288675.0,13.05,7.32,2.5,2.94
2022-04-28,003031,36.17,36.47,36.96,35.18,4963,35778690.0,4.85,-0.55,-0.2,1.0
2022-04-29,003031,36.7,37.01,37.41,35.81,7556,55485290.0,4.39,1.48,0.54,1.52
2022-05-05,003031,37.01,37.17,38.51,36.37,7563,56625630.0,5.78,0.43,0.16,1.52
2022-05-06,003031,36.32,36.11,36.97,35.45,5756,41646244.0,4.09,-2.85,-1.06,1.16
2022-05-09,003031,36.1,35.76,37.24,35.38,6435,46731614.0,5.15,-0.97,-0.35,1.3
2022-05-10,003031,36.09,38.49,38.9,34.95,13184,99468409.0,11.05,7.63,2.73,2.66
2022-05-11,003031,38.5,39.79,41.06,38.36,10662,84947130.0,7.01,3.38,1.3,2.15
2022-05-12,003031,39.78,39.12,39.78,38.9,6380,50046961.0,2.21,-1.68,-0.67,1.29
2022-05-13,003031,39.02,39.06,40.0,38.61,4236,33156170.0,3.55,-0.15,-0.06,0.85
2022-05-16,003031,39.06,37.86,39.78,37.75,7884,60534042.0,5.2,-3.07,-1.2,1.59
2022-05-17,003031,38.0,37.85,38.47,37.33,8508,64249417.0,3.01,-0.03,-0.01,1.71
2022-05-18,003031,37.91,40.3,41.3,37.5,14197,112564117.0,10.04,6.47,2.45,2.86
2022-05-19,003031,39.81,40.68,41.27,39.21,7818,62789631.0,5.11,0.94,0.38,1.58
2022-05-20,003031,40.87,39.78,41.06,39.67,10982,88092836.0,3.42,-2.21,-0.9,2.21
2022-05-23,003031,40.04,39.79,40.24,39.37,12724,101277024.0,2.19,0.03,0.01,2.56
2022-05-24,003031,39.58,40.04,41.81,39.33,11870,95994570.0,6.23,0.63,0.25,2.39
2022-05-25,003031,39.54,39.63,39.84,38.51,7789,61123798.0,3.32,-1.02,-0.41,1.57
2022-05-26,003031,39.56,40.03,41.42,39.15,8398,67674094.0,5.73,1.01,0.4,1.69
2022-05-27,003031,41.32,40.33,42.08,39.3,14926,120429272.0,6.94,0.75,0.3,3.01
2022-05-30,003031,40.15,39.9,40.16,39.02,10169,80316705.0,2.83,-1.07,-0.43,2.05
2022-05-31,003031,39.59,39.93,39.99,38.84,9075,71558070.0,2.88,0.08,0.03,1.83
2022-06-01,003031,39.43,39.51,40.73,39.35,7160,57228270.0,3.46,-1.05,-0.42,1.44
2022-06-02,003031,39.94,40.49,41.0,39.39,11112,89494648.0,4.07,2.48,0.98,2.24
2022-06-06,003031,40.52,41.83,41.83,40.52,12237,101037445.0,3.24,3.31,1.34,2.47
2022-06-07,003031,42.33,42.95,43.54,41.46,11485,97539787.0,4.97,2.68,1.12,2.31
2022-06-08,003031,43.49,42.58,43.51,41.26,9792,82795072.0,5.24,-0.86,-0.37,1.97
2022-06-09,003031,42.58,40.99,42.58,40.85,10143,83787926.0,4.06,-3.73,-1.59,2.04
2022-06-10,003031,40.79,41.8,42.67,40.37,11813,70036906.0,5.61,1.98,0.81,1.7
2022-06-13,003031,41.5,42.12,43.0,40.96,12222,73340217.0,4.88,0.77,0.32,1.76
2022-06-14,003031,41.89,41.16,42.12,40.26,10389,60616143.0,4.42,-2.28,-0.96,1.5
2022-06-15,003031,40.92,41.09,42.23,40.92,10601,62775496.0,3.18,-0.17,-0.07,1.53
2022-06-16,003031,41.02,41.3,42.31,40.74,12329,73052605.0,3.82,0.51,0.21,1.77
2022-06-17,003031,40.8,40.69,41.73,40.59,13992,81492710.0,2.76,-1.48,-0.61,2.01
2022-06-20,003031,40.69,42.87,43.23,40.69,21981,132369908.0,6.24,5.36,2.18,3.16
2022-06-21,003031,42.91,41.57,44.05,41.2,18639,112222378.0,6.65,-3.03,-1.3,2.68
2022-06-22,003031,41.59,40.69,41.87,40.6,11838,69005304.0,3.06,-2.12,-0.88,1.7
2022-06-23,003031,40.64,41.27,41.37,40.59,8891,51905877.0,1.92,1.43,0.58,1.28
2022-06-24,003031,41.47,43.44,44.64,41.14,32498,200840211.0,8.48,5.26,2.17,4.68
2022-06-27,003031,44.16,46.22,47.64,43.81,44035,287644672.0,8.82,6.4,2.78,6.34
2022-06-28,003031,45.7,45.43,45.94,44.37,21527,138227994.0,3.4,-1.71,-0.79,3.1
2022-06-29,003031,45.51,43.44,46.29,43.34,18741,117993486.0,6.49,-4.38,-1.99,2.7
2022-06-30,003031,43.42,45.44,46.09,43.37,19061,120969198.0,6.26,4.6,2.0,2.74
2022-07-01,003031,47.19,50.06,50.06,47.02,36045,254398633.0,6.69,10.17,4.62,5.19
2022-07-04,003031,49.22,50.93,52.52,48.59,53078,382599440.0,7.85,1.74,0.87,7.64
2022-07-05,003031,50.93,51.79,52.79,48.6,51994,375375520.0,8.23,1.69,0.86,7.48
2022-07-06,003031,50.73,57.04,57.04,50.59,75801,593583072.0,12.45,10.14,5.25,10.91
2022-07-07,003031,57.59,58.94,61.34,57.16,57909,485528320.0,7.33,3.33,1.9,8.33
2022-07-08,003031,58.46,60.48,61.29,57.1,39304,330996992.0,7.11,2.61,1.54,5.66
2022-07-11,003031,58.73,56.52,60.02,54.97,51794,417691392.0,8.35,-6.55,-3.96,7.45
2022-07-12,003031,56.82,55.74,57.36,55.02,29242,231571544.27,4.14,-1.38,-0.78,4.21
2022-07-13,003031,55.74,56.64,57.88,55.0,22630,181423513.16,5.17,1.61,0.9,3.26
2022-07-14,003031,56.98,59.57,62.0,56.1,34020,289145928.72,10.42,5.17,2.93,4.9
2022-07-15,003031,58.54,59.59,61.35,58.5,24749,211217254.22,4.78,0.03,0.02,3.56
2022-07-18,003031,60.87,59.66,60.87,57.87,18379,154146347.41,5.03,0.12,0.07,2.65
2022-07-19,003031,60.02,58.24,60.02,57.44,17943,148568719.32,4.32,-2.38,-1.42,2.58
2022-07-20,003031,58.4,59.67,60.12,58.04,15576,130947711.46,3.57,2.46,1.43,2.24
2022-07-21,003031,59.68,59.92,61.34,58.93,17630,150851053.06,4.04,0.42,0.25,2.54
2022-07-22,003031,62.32,63.59,65.99,61.92,37012,334061170.05,6.79,6.12,3.67,5.33
2022-07-25,003031,62.7,67.71,69.99,62.55,46134,439236710.8,11.7,6.48,4.12,6.64
2022-07-26,003031,66.02,66.3,67.74,63.99,29528,273392504.95,5.54,-2.08,-1.41,4.25
2022-07-27,003031,66.2,67.94,68.94,64.36,23492,222903375.21,6.91,2.47,1.64,3.38
2022-07-28,003031,68.49,69.87,71.94,66.16,32787,322854666.56,8.51,2.84,1.93,4.72
2022-07-29,003031,70.69,68.98,70.69,67.73,17309,169180322.99,4.24,-1.27,-0.89,2.49
2022-08-01,003031,68.3,68.21,70.37,67.02,16117,157103745.13,4.86,-1.12,-0.77,2.32
2022-08-02,003031,67.87,68.59,69.07,65.87,24252,231355891.84,4.69,0.56,0.38,3.49
2022-08-03,003031,68.57,69.87,70.59,67.52,20845,204151310.75,4.48,1.87,1.28,3.0
