日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-01-04,002607,7.84,8.04,8.08,7.77,422026,336629216.0,3.94,2.29,0.18,2.63
2022-01-05,002607,8.04,7.99,8.18,7.93,468018,376593008.0,3.11,-0.62,-0.05,2.92
2022-01-06,002607,7.99,7.95,7.99,7.81,458955,361626224.0,2.25,-0.5,-0.04,2.86
2022-01-07,002607,7.9,7.87,8.04,7.85,342035,271632800.0,2.39,-1.01,-0.08,2.13
2022-01-10,002607,7.87,7.93,7.96,7.68,319611,250192603.0,3.56,0.76,0.06,1.99
2022-01-11,002607,7.92,7.95,8.08,7.88,361848,288691152.0,2.52,0.25,0.02,2.26
2022-01-12,002607,7.96,7.94,7.97,7.86,233104,184448640.0,1.38,-0.13,-0.01,1.45
2022-01-13,002607,7.92,7.81,8.01,7.81,307823,243115380.0,2.52,-1.64,-0.13,1.92
2022-01-14,002607,7.75,7.57,7.77,7.57,346892,265520590.0,2.56,-3.07,-0.24,2.16
2022-01-17,002607,7.57,7.41,7.57,7.16,468783,343822864.0,5.42,-2.11,-0.16,2.93
2022-01-18,002607,7.39,7.32,7.59,7.28,320774,237222513.0,4.18,-1.21,-0.09,2.0
2022-01-19,002607,7.26,7.39,7.61,7.21,387150,287477280.0,5.46,0.96,0.07,2.42
2022-01-20,002607,7.36,7.2,7.38,7.19,294473,213542691.0,2.57,-2.57,-0.19,1.84
2022-01-21,002607,7.19,7.02,7.3,7.01,278172,197721370.0,4.03,-2.5,-0.18,1.74
2022-01-24,002607,6.95,6.97,7.06,6.9,289115,201443909.0,2.28,-0.71,-0.05,1.8
2022-01-25,002607,6.93,6.67,6.98,6.66,311940,211782535.0,4.59,-4.3,-0.3,1.95
2022-01-26,002607,6.69,6.7,6.82,6.57,273719,182450790.0,3.75,0.45,0.03,1.71
2022-01-27,002607,6.64,6.38,6.67,6.36,350046,226896084.0,4.63,-4.78,-0.32,2.18
2022-01-28,002607,6.41,6.6,6.68,6.4,356989,234174462.0,4.39,3.45,0.22,2.23
2022-02-07,002607,6.54,6.54,6.67,6.49,284945,186633721.0,2.73,-0.91,-0.06,1.78
2022-02-08,002607,6.54,6.69,6.77,6.53,436087,291008448.0,3.67,2.29,0.15,2.72
2022-02-09,002607,6.68,6.75,6.87,6.66,375987,254415014.0,3.14,0.9,0.06,2.21
2022-02-10,002607,6.75,6.71,6.77,6.65,241254,161793798.0,1.78,-0.59,-0.04,1.42
2022-02-11,002607,6.73,6.53,6.85,6.5,384923,255532059.0,5.22,-2.68,-0.18,2.15
2022-02-14,002607,6.5,6.62,6.74,6.46,331951,220216514.0,4.29,1.38,0.09,1.85
2022-02-15,002607,6.62,6.56,6.77,6.45,372395,244483416.0,4.83,-0.91,-0.06,2.08
2022-02-16,002607,6.65,6.71,6.85,6.6,576656,388574768.0,3.81,2.29,0.15,3.22
2022-02-17,002607,6.72,6.52,6.73,6.51,452157,297484096.0,3.28,-2.83,-0.19,2.52
2022-02-18,002607,6.45,6.55,6.55,6.41,285010,184582634.0,2.15,0.46,0.03,1.59
