日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-01-04,002500,6.22,6.24,6.25,6.17,180917,119500349.0,1.29,0.48,0.03,0.5
2022-01-05,002500,6.23,6.21,6.26,6.19,177037,117205845.0,1.12,-0.48,-0.03,0.49
2022-01-06,002500,6.18,6.15,6.22,6.14,170995,112215315.0,1.29,-0.97,-0.06,0.48
2022-01-07,002500,6.17,6.17,6.2,6.15,125276,82242875.0,0.81,0.33,0.02,0.35
2022-01-10,002500,6.16,6.19,6.21,6.15,140673,92419503.0,0.97,0.32,0.02,0.39
2022-01-11,002500,6.17,6.21,6.25,6.17,183596,121197798.0,1.29,0.32,0.02,0.51
2022-01-12,002500,6.21,6.2,6.23,6.17,112802,74340941.0,0.97,-0.16,-0.01,0.31
2022-01-13,002500,6.21,6.21,6.25,6.2,142010,93861845.0,0.81,0.16,0.01,0.4
2022-01-14,002500,6.19,6.09,6.2,6.07,183769,119794998.0,2.09,-1.93,-0.12,0.51
2022-01-17,002500,6.09,6.08,6.13,6.07,97300,63104327.0,0.99,-0.16,-0.01,0.27
2022-01-18,002500,5.88,5.76,5.88,5.66,546873,337309056.0,3.62,-5.26,-0.32,1.52
2022-01-19,002500,5.67,5.73,5.75,5.63,300219,182836798.0,2.08,-0.52,-0.03,0.84
2022-01-20,002500,5.72,5.72,5.81,5.68,286288,175348859.0,2.27,-0.17,-0.01,0.8
2022-01-21,002500,5.71,5.74,5.79,5.69,176549,108065857.0,1.75,0.35,0.02,0.49
2022-01-24,002500,5.74,5.71,5.76,5.69,118370,72372540.0,1.22,-0.52,-0.03,0.33
2022-01-25,002500,5.71,5.62,5.72,5.61,196265,119163322.0,1.93,-1.58,-0.09,0.55
2022-01-26,002500,5.62,5.66,5.69,5.57,129601,78063438.0,2.14,0.71,0.04,0.36
2022-01-27,002500,5.64,5.51,5.67,5.51,151350,90231474.0,2.83,-2.65,-0.15,0.42
2022-01-28,002500,5.56,5.52,5.6,5.51,111736,66393968.0,1.63,0.18,0.01,0.31
2022-02-07,002500,5.57,5.56,5.6,5.53,106121,63126724.0,1.27,0.72,0.04,0.3
2022-02-08,002500,5.54,5.69,5.69,5.53,169424,101867770.0,2.88,2.34,0.13,0.47
2022-02-09,002500,5.68,5.7,5.73,5.66,109642,66820171.0,1.23,0.18,0.01,0.31
2022-02-10,002500,5.72,5.71,5.72,5.66,81893,49794316.0,1.05,0.18,0.01,0.23
2022-02-11,002500,5.68,5.72,5.76,5.67,132182,80672719.0,1.58,0.18,0.01,0.37
2022-02-14,002500,5.69,5.65,5.71,5.63,133525,80943525.0,1.4,-1.22,-0.07,0.37
2022-02-15,002500,5.67,5.68,5.69,5.65,67538,40903911.0,0.71,0.53,0.03,0.19
2022-02-16,002500,5.68,5.7,5.71,5.67,62185,37797436.0,0.7,0.35,0.02,0.17
2022-02-17,002500,5.69,5.65,5.7,5.64,69658,42206501.0,1.05,-0.88,-0.05,0.19
2022-02-18,002500,5.62,5.68,5.69,5.61,62870,38011179.0,1.42,0.53,0.03,0.18
2022-02-21,002500,5.69,5.7,5.7,5.66,79290,48121741.0,0.7,0.35,0.02,0.22
2022-02-22,002500,5.67,5.66,5.7,5.63,83122,50296365.0,1.23,-0.7,-0.04,0.23
2022-02-23,002500,5.66,5.68,5.7,5.65,78417,47558561.0,0.88,0.35,0.02,0.22
2022-02-24,002500,5.68,5.55,5.68,5.5,173650,103656727.0,3.17,-2.29,-0.13,0.48
2022-02-25,002500,5.57,5.56,5.61,5.54,92003,54869940.0,1.26,0.18,0.01,0.26
2022-02-28,002500,5.56,5.51,5.59,5.49,100960,59704964.0,1.8,-0.9,-0.05,0.28
2022-03-01,002500,5.53,5.54,5.55,5.49,107869,63720393.0,1.09,0.54,0.03,0.3
2022-03-02,002500,5.52,5.56,5.57,5.51,95941,56899707.0,1.08,0.36,0.02,0.27
2022-03-03,002500,5.56,5.58,5.61,5.55,107108,63905462.0,1.08,0.36,0.02,0.3
2022-03-04,002500,5.58,5.54,5.59,5.51,102841,60926221.0,1.43,-0.72,-0.04,0.29
2022-03-07,002500,5.54,5.45,5.55,5.44,132475,78001015.0,1.99,-1.62,-0.09,0.37
2022-03-08,002500,5.45,5.22,5.49,5.22,212372,122220742.0,4.95,-4.22,-0.23,0.59
2022-03-09,002500,5.25,4.99,5.25,4.81,296097,160594181.0,8.43,-4.41,-0.23,0.82
2022-03-10,002500,5.1,5.03,5.15,5.02,143258,78311600.0,2.61,0.8,0.04,0.4
2022-03-11,002500,5.01,5.34,5.45,4.92,337051,187554952.0,10.54,6.16,0.31,0.94
2022-03-14,002500,5.23,5.22,5.37,5.2,207388,117436105.0,3.18,-2.25,-0.12,0.58
2022-03-15,002500,5.13,4.97,5.27,4.96,257742,142455527.0,5.94,-4.79,-0.25,0.72
2022-03-16,002500,5.04,5.3,5.36,4.95,327467,182161077.0,8.25,6.64,0.33,0.91
2022-03-17,002500,5.33,5.28,5.38,5.24,266881,151746137.0,2.64,-0.38,-0.02,0.74
2022-03-18,002500,5.27,5.28,5.33,5.22,187975,106500413.0,2.08,0.0,0.0,0.52
2022-03-21,002500,5.24,5.17,5.26,5.14,188858,105512836.0,2.27,-2.08,-0.11,0.53
2022-03-22,002500,5.14,5.17,5.23,5.13,107583,59927871.0,1.93,0.0,0.0,0.3
2022-03-23,002500,5.19,5.18,5.21,5.16,100447,56030141.0,0.97,0.19,0.01,0.28
2022-03-24,002500,5.14,5.1,5.17,5.09,118051,65007639.0,1.54,-1.54,-0.08,0.33
2022-03-25,002500,5.1,5.06,5.19,5.06,123832,68136946.0,2.55,-0.78,-0.04,0.34
2022-03-28,002500,5.04,5.12,5.16,5.0,128101,70214474.0,3.16,1.19,0.06,0.36
2022-03-29,002500,5.15,5.1,5.16,5.07,93541,51472406.0,1.76,-0.39,-0.02,0.26
2022-03-30,002500,5.15,5.26,5.29,5.13,202408,113519640.0,3.14,3.14,0.16,0.56
2022-03-31,002500,5.22,5.27,5.31,5.21,136562,77156861.0,1.9,0.19,0.01,0.38
