日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率
2022-01-04,000937,2.3,2.2,2.38,2.2,643854,364835952.0,8.53,4.27,0.09,2.22
2022-01-05,000937,2.18,2.15,2.23,2.1,466660,258768581.0,5.91,-2.27,-0.05,1.61
2022-01-06,000937,2.12,2.15,2.17,2.1,316490,175244542.0,3.26,0.0,0.0,1.09
2022-01-07,000937,2.14,2.15,2.19,2.11,383215,212760272.0,3.72,0.0,0.0,1.32
2022-01-10,000937,2.15,2.32,2.33,2.13,611023,345322704.0,9.3,7.91,0.17,2.1
2022-01-11,000937,2.26,2.26,2.31,2.2,400094,225844946.0,4.74,-2.59,-0.06,1.38
2022-01-12,000937,2.23,2.26,2.28,2.18,307442,173082184.0,4.42,0.0,0.0,1.06
2022-01-13,000937,2.27,2.33,2.42,2.25,718305,414173472.0,7.52,3.1,0.07,2.47
2022-01-14,000937,2.24,2.11,2.24,2.05,587804,324467808.0,8.15,-9.44,-0.22,2.02
2022-01-17,000937,2.1,2.08,2.13,2.0,317053,173072616.0,6.16,-1.42,-0.03,1.09
2022-01-18,000937,2.07,2.15,2.18,2.02,420260,231171936.0,7.69,3.37,0.07,1.45
2022-01-19,000937,2.21,2.19,2.4,2.17,607052,344435008.0,10.7,1.86,0.04,2.09
2022-01-20,000937,2.11,2.18,2.26,2.1,399938,222926367.0,7.31,-0.46,-0.01,1.38
2022-01-21,000937,2.23,2.51,2.61,2.22,1347054,783078816.0,17.89,15.14,0.33,4.63
2022-01-24,000937,2.45,2.3,2.46,2.24,744680,425094192.0,8.76,-8.37,-0.21,2.56
2022-01-25,000937,2.25,1.83,2.26,1.81,845669,455427984.0,19.57,-20.43,-0.47,2.91
2022-01-26,000937,1.79,1.81,1.83,1.61,504183,258709975.0,12.02,-1.09,-0.02,1.73
2022-01-27,000937,1.8,1.73,1.92,1.7,377437,196350521.0,12.15,-4.42,-0.08,1.3
2022-01-28,000937,1.82,1.7,1.87,1.62,417296,214344614.0,14.45,-1.73,-0.03,1.44
2022-02-07,000937,1.79,2.03,2.09,1.75,704146,375864400.0,20.0,19.41,0.33,2.42
2022-02-08,000937,2.25,2.26,2.3,2.08,748991,418692240.0,10.84,11.33,0.23,2.58
2022-02-09,000937,2.2,2.26,2.36,2.14,653274,370826368.0,9.73,0.0,0.0,2.25
2022-02-10,000937,2.22,2.83,2.83,2.14,1354395,805221648.0,30.53,25.22,0.57,4.66
2022-02-11,000937,2.83,3.4,3.4,2.73,2222088,1423127888.0,23.67,20.14,0.57,7.64
2022-02-14,000937,3.25,3.1,3.25,2.89,1506631,970477760.0,10.59,-8.82,-0.3,5.18
